@id,@lon,@lat,name,name:mk,name:en,int_name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,contact:phone,opening_hours,fee,operator,website,historic,memorial,wikipedia
393713793,21.4342036,41.9998668,,,,,,,,,,,,,,,,,
405151335,21.0278846,42.0680855,,,,,,,,,,,,,,,,,
410115784,21.2578980,41.3377228,Мечкин Камен,,Mechkin Kamen,Mečkin Kamen,,,,,,,,,,,monument,,
410115785,21.2273776,41.3880768,Слива,,,Sliva,,,,,,,,,,,monument,,
414714609,21.6904592,41.5113691,,,,,,,,,,,,,,,monument,,
416389296,21.5385876,41.4073498,,,,,,,,,,,,,,,,,
416389297,21.5390074,41.4065102,,,,,,,,,,,,,,,,,
442750987,21.3339010,41.0309344,,,,,,,,,,,,,,,,,
442750988,21.3339522,41.0308456,,,,,,,,,,,,,,,,,
442750989,21.3338943,41.0308266,,,,,,,,,,,,,,,,,
444334991,22.4069917,41.9188903,Споменик на слободата,,Monument of Freedom,Spomenik na slobodata,,,,,,,,,,,monument,,mk:Споменик на слободата (Кочани)
444549625,21.3338431,41.0309154,,,,,,,,,,,,,,,,,
445811700,21.3434247,41.0112230,,,,,,,,,,,,,,,,,
445811707,21.3417730,41.0104958,,,,,,,,,,,,,,,,,
445811710,21.3412357,41.0111457,,,,,,,,,,,,,,,,,
445811716,21.3417603,41.0116253,,,,,,,,,,,,,,,,,
445811719,21.3424647,41.0119062,,,,,,,,,,,,,,,,,
445811723,21.3430890,41.0116991,,,,,,,,,,,,,,,,,
447878204,21.3431362,41.0116527,,,,,,,,,,,,,,,,,
456998883,21.3350427,41.0299956,,,,,,,,,,,,,,,,,
456998885,21.3351410,41.0300199,,,,,,,,,,,,,,,,,
456998886,21.3352067,41.0298686,,,,,,,,,,,,,,,,,
456998887,21.3351085,41.0298443,,,,,,,,,,,,,,,,,
473902990,22.3507979,42.2916094,WWII Battle - 17th Macedonian Brigade ws Bulgarian army,2ра Светска војна - Битка помеѓу 17та Македонска Ударна Бригада и Бугарската војска,,,,,,,,,,,,,monument,,
478699817,22.8566138,41.7077548,Музеј на град Берово,,Berovo Town Museum,,,,,,,,,,,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,,,
495558836,20.6798350,41.1776616,Споменик на Револуцијата,,Monument of the Revolution,Spomenik na Revolucijata,,,,,,,,,,,monument,,
506977042,21.4322590,41.9964385,,,,,,,,,,,,,,,,,
529811458,22.0163228,41.4343634,Музеј Галерија Кавадарци,,Muzej Galerija Kavadarci,,,,,,,,,,,,,,
534925163,20.7961416,41.1123610,Куќа на Робевци,,Robev Family House,Robev Family House,,62,,Цар Самоил,,,Tu-Su 09:00-14:00,,,http://muzejohrid.mk/en/house-of-robev-family,,,
534926233,20.7911887,41.1122040,,,,,,,,,,,,,,,,,
908273242,21.4369104,42.0032027,,,,,,,,,,,,,,,,,
908273293,21.4371756,42.0032151,,,,,,,,,,,,,,,,,
908273318,21.4367753,42.0030971,,,,,,,,,,,,,,,,,
908273390,21.4369259,42.0030207,,,,,,,,,,,,,,,,,
908273421,21.4314474,41.9959035,Споменик на Александар Македонски,,Statue of Alexander the Great,Voin na Konj,,,,,,,,,,,monument,statue,mk:Воин на коњ (Скопје)
908273453,21.4371910,42.0030331,,,,,,,,,,,,,,,,,
1272898175,22.5049622,41.8841902,Museum Teracotta,,,,,1a,,,,,,,,,,,
1310339037,22.9650942,41.3632110,5,,,,,,,,,,,,,,boundary_stone,,
1445497410,21.5377783,41.4036113,,,,,,,,,,,,,,,,,
1445497419,21.5377037,41.4037273,,,,,,,,,,,,,,,,,
1452854994,20.5620379,41.6346281,Lukov,,,,,,,,,,,,,,memorial,,
1475328742,21.3527926,42.0586697,Rimska crkva,,,,,,,,,,,,,,archaeological_site,,
1475331129,21.3548716,42.0843452,Давина Кула,,Davina Kula,Davina Kula,,,,,,,,,,,archaeological_site,,
1475333181,21.2786993,42.0587494,Голема Кула - Кучково,,,,,,,,,,,,,,archaeological_site,,
1475333182,21.2844339,42.0585741,Мала Кула - Кучково,,,,,,,,,,,,,,archaeological_site,,
1611964682,22.3600562,42.3130740,,,,,,,,,,,,,,,boundary_stone,,
1611964719,22.3659246,42.3240027,,,,,,,,,,,,,,,boundary_stone,,
1612141331,22.9655541,41.3534717,4,,,,,,,,,,,,,,boundary_stone,,
1612141343,22.9649520,41.3649798,6,,,,,,,,,,,,,,boundary_stone,,
1612141345,22.9645721,41.3667003,7,,,,,,,,,,,,,,boundary_stone,,
1612141347,22.9643552,41.3682443,8,,,,,,,,,,,,,,boundary_stone,,
1612141348,22.9640182,41.3692174,9,,,,,,,,,,,,,,boundary_stone,,
1612141349,22.9637614,41.3704535,10,,,,,,,,,,,,,,boundary_stone,,
1612141350,22.9635650,41.3713450,11,,,,,,,,,,,,,,boundary_stone,,
1612141351,22.9631755,41.3721284,12,,,,,,,,,,,,,,boundary_stone,,
1612141352,22.9630541,41.3728977,13,,,,,,,,,,,,,,boundary_stone,,
1612141353,22.9628253,41.3739433,14,,,,,,,,,,,,,,boundary_stone,,
1612141354,22.9632889,41.3755256,15,,,,,,,,,,,,,,boundary_stone,,
1612141357,22.9621967,41.3786524,16,,,,,,,,,,,,,,boundary_stone,,
1612141363,22.9628726,41.3839589,19,,,,,,,,,,,,,,boundary_stone,,
1612141367,22.9631941,41.3859009,20,,,,,,,,,,,,,,boundary_stone,,
1612141373,22.9642834,41.3891975,21,,,,,,,,,,,,,,boundary_stone,,
1612141381,22.9667134,41.3931081,22,,,,,,,,,,,,,,boundary_stone,,
1612141385,22.9661260,41.3964028,25,,,,,,,,,,,,,,boundary_stone,,
1612141398,22.9615881,41.4070803,27,,,,,,,,,,,,,,boundary_stone,,
1612141411,22.9520216,41.4174975,28,,,,,,,,,,,,,,boundary_stone,,
1612141458,22.9746504,41.4400834,30,,,,,,,,,,,,,,boundary_stone,,
1612143468,22.5899869,42.1102442,Куцолиница / 86,,,,,,,,,,,,,,boundary_stone,,
1612143496,22.5770819,42.1119645,87,,,,,,,,,,,,,,boundary_stone,,
1612143672,22.5104573,42.1551091,90,,,,,,,,,,,,,,boundary_stone,,
1612155052,22.3705411,42.3089612,Китка,,,,,,,,,,,,,,boundary_stone,,
1634988461,21.7895337,41.7234318,,,,,,,,,,,,,,,,,
1634988468,21.7897214,41.7233857,,,,,,,,,,,,,,,,,
1634988488,21.7894320,41.7234818,,,,,,,,,,,,,,,,,
1634988521,21.7895581,41.7234038,,,,,,,,,,,,,,,,,
1634988534,21.7892467,41.7234618,,,,,,,,,,,,,,,,,
1634988538,21.7892225,41.7233937,,,,,,,,,,,,,,,,,
1634988552,21.7896893,41.7234138,,,,,,,,,,,,,,,,,
1634988556,21.7893542,41.7234838,,,,,,,,,,,,,,,,,
1634988558,21.7895069,41.7231435,,,,,,,,,,,,,,,,,
1634988564,21.7892333,41.7232436,,,,,,,,,,,,,,,,,
1634988570,21.7894344,41.7231175,,,,,,,,,,,,,,,,,
1634988574,21.7892816,41.7232756,,,,,,,,,,,,,,,,,
1634988576,21.7897617,41.7233417,,,,,,,,,,,,,,,,,
1634988588,21.7893164,41.7232536,,,,,,,,,,,,,,,,,
1634988593,21.7892121,41.7233097,,,,,,,,,,,,,,,,,
1634988598,21.7893030,41.7232661,,,,,,,,,,,,,,,,,
1634988601,21.7892738,41.7234298,,,,,,,,,,,,,,,,,
1634988617,21.7896091,41.7232376,,,,,,,,,,,,,,,,,
1634988619,21.7895364,41.7231655,,,,,,,,,,,,,,,,,
1634988655,21.7896383,41.7234158,,,,,,,,,,,,,,,,,
1634988673,21.7894961,41.7234598,,,,,,,,,,,,,,,,,
1634988684,21.7892521,41.7231535,,,,,,,,,,,,,,,,,
1634988691,21.7893379,41.7231235,,,,,,,,,,,,,,,,,
1696045002,22.5162744,42.1580093,Руен,Руен,Ruen,Ruen,,,,,,,,,,,boundary_stone,,bg:Руен
1708412126,21.7200501,42.1355189,Zena,Жена,,,,,,,,,,,,,monument,,
1711707197,21.7227239,42.1452988,,,,,,,,,,,,,,,,,
1711707200,21.7225040,42.1455574,,,,,,,,,,,,,,,,,
1711707202,21.7226787,42.1454838,,,,,,,,,,,,,,,,,
1711707203,21.7226864,42.1452511,,,,,,,,,,,,,,,,,
1711707204,21.7224879,42.1452789,,,,,,,,,,,,,,,,,
1711707205,21.7225791,42.1452392,,,,,,,,,,,,,,,,,
1711707207,21.7224772,42.1453386,,,,,,,,,,,,,,,,,
1711707210,21.7224772,42.1452988,,,,,,,,,,,,,,,,,
1711707213,21.7226327,42.1452352,,,,,,,,,,,,,,,,,
1711707215,21.7228151,42.1452750,,,,,,,,,,,,,,,,,
1711707218,21.7224879,42.1453664,,,,,,,,,,,,,,,,,
1711707220,21.7224074,42.1453943,,,,,,,,,,,,,,,,,
1711707223,21.7228849,42.1454341,,,,,,,,,,,,,,,,,
1711707226,21.7225254,42.1452551,,,,,,,,,,,,,,,,,
1734593430,21.3988480,42.0766913,Gradiste kaj s.Brazda,,,,,,,,,,,,,,archaeological_site,,
1790711188,22.9526962,41.3962021,,,,,,,,,,,,,,,monument,,
1791473944,22.7529592,41.3867293,,,,,,,,,,,,,,,,,
1791473976,22.7529463,41.3867761,,,,,,,,,,,,,,,,,
1791473993,22.7529843,41.3867559,,,,,,,,,,,,,,,,,
1791474014,22.7529212,41.3867495,,,,,,,,,,,,,,,,,
1791491746,22.7529708,41.3867493,,,,,,,,,,,,,,,memorial,,
1830951668,21.4330514,42.0041084,,,,,,,,,,,,,,,,,
1830951674,21.4322545,42.0005665,,,,,,,,,,,,,,,,,
1830951677,21.4331584,42.0041283,,,,,,,,,,,,,,,,,
1830951679,21.4321714,42.0007798,,,,,,,,,,,,,,,,,
1830951684,21.4320855,42.0008237,,,,,,,,,,,,,,,,,
1830951685,21.4349492,42.0001436,,,,,,,,,,,,,,,,,
1830951688,21.4340011,42.0007721,,,,,,,,,,,,,,,,,
1830951691,21.4321474,42.0016832,,,,,,,,,,,,,,,,,
1830951696,21.4336075,42.0010553,,,,,,,,,,,,,,,,,
1830951697,21.4344855,42.0003954,,,,,,,,,,,,,,,,,
1830951701,21.4320113,42.0009252,,,,,,,,,,,,,,,,,
1830951705,21.4320608,42.0009285,,,,,,,,,,,,,,,,,
1830951706,21.4333925,42.0012190,,,,,,,,,,,,,,,,,
1830951707,21.4326108,42.0018674,,,,,,,,,,,,,,,,,
1830951711,21.4348196,42.0001995,,,,,,,,,,,,,,,,,
1830951714,21.4328943,42.0017434,,,,,,,,,,,,,,,,,
1831061818,21.4354288,41.9986787,,,,,,,,,,,,,,,,,
1831061819,21.4360185,41.9987691,,,,,,,,,,,,,,,,,
1831061820,21.4358887,41.9985368,,,,,,,,,,,,,,,,,
1831061821,21.4355586,41.9989110,,,,,,,,,,,,,,,,,
1831127081,21.4332386,41.9980543,,,,,,,,,,,,,,,,,
1831127083,21.4327371,41.9981391,,,,,,,,,,,,,,,,,
1831127084,21.4335269,41.9978299,,,,,,,,,,,,,,,,,
1831127085,21.4329425,41.9982848,,,,,,,,,,,,,,,,,
1831180452,21.4335037,41.9986478,,,,,,,,,,,,,,,,,
1831180502,21.2991931,41.9505936,Манастир Св. Андреј,,Monastery St. Andrej,Manastir Sv. Andrej,,,,,,,,,,,monument,,
1831180534,21.4331205,41.9984101,,,,,,,,,,,,,,,,,
1853704787,22.7221034,41.1871817,Музеј на Дојран,,,,,,,,,,,,,,,,
1857486060,21.4617772,42.0017233,Филип Втори,,,,,,,,,,,,,,monument,,
1859114111,21.4349949,41.9984602,Филип II Македонски,,Philip II of Macedon,,,,,,,,,,,,memorial,statue,
1866027750,21.4285266,41.9909477,,,,,,,,,,,,,,,,,
1866027751,21.4288883,41.9912181,,,,,,,,,,,,,,,,,
1866027752,21.4294908,41.9908785,,,,,,,,,,,,,,,,,
1866027754,21.4292717,41.9906108,,,,,,,,,,,,,,,,,
1866027756,21.4285987,41.9910357,,,,,,,,,,,,,,,,,
1866027765,21.4287012,41.9909894,,,,,,,,,,,,,,,,,
1866191459,21.4307134,41.9937951,,,,,,,,,,,,,,,,,
1866191463,21.4309475,41.9937442,,,,,,,,,,,,,,,,,
1866191465,21.4307694,41.9939282,,,,,,,,,,,,,,,,,
1866191468,21.4309805,41.9938161,,,,,,,,,,,,,,,,,
1866191471,21.4310047,41.9938735,,,,,,,,,,,,,,,,,
1866944575,21.4254968,41.9983057,Св. Климент Охридски,,Clement of Ohrid,Sv. Kliment Ohridski,,,,,,,,,,,memorial,statue,mk:Свети Климент Охридски
1867151652,21.4371620,41.9993163,Скендербег,,Skanderbeg,,,,,,,,,,,,memorial,statue,en:Skanderbeg
1867606193,21.1195933,40.8570205,Маркова Нога,,,,,,,,,,,,,,monument,,
1870339086,21.3907444,42.0177897,,,,,,,,,,,,,,,,,
1876015657,21.9744306,41.5543693,,,,,,,,,,,,,,,,,
1876015658,21.9746398,41.5538434,,,,,,,,,,,,,,,,,
1876015659,21.9763618,41.5509169,,,,,,,,,,,,,,,,,
1876015660,21.9756912,41.5506519,,,,,,,,,,,,,,,,,
1876015661,21.9749025,41.5507166,,,,,,,,,,,,,,,,,
1876015662,21.9725531,41.5520530,,,,,,,,,,,,,,,,,
1876015663,21.9742600,41.5505273,,,,,,,,,,,,,,,,,
1876015664,21.9755142,41.5508968,,,,,,,,,,,,,,,,,
1876015665,21.9747133,41.5506608,,,,,,,,,,,,,,,,,
1876015666,21.9743180,41.5535664,,,,,,,,,,,,,,,,,
1879436069,21.8098380,42.1706665,Костоперска Карпа,,,,,,,,,,,,,,archaeological_site,,mk:Костоперска Карпа
1879461479,21.9531180,42.2633818,Кокино,Кокино,,,,,,,,,,,,,archaeological_site,,mk:Кокино (локалитет)
1881184537,21.4348208,42.0001233,,,,,,,,,,,,,,,,,
1881184539,21.4349971,42.0001304,,,,,,,,,,,,,,,,,
1881184543,21.4324555,41.9999455,,,,,,,,,,,,,,,,,
1881184546,21.4325382,42.0018844,,,,,,,,,,,,,,,,,
1881184551,21.4321773,42.0018152,,,,,,,,,,,,,,,,,
1881184553,21.4348718,42.0000472,,,,,,,,,,,,,,,,,
1881184555,21.4348580,42.0001247,,,,,,,,,,,,,,,,,
1881184557,21.4349955,41.9999350,,,,,,,,,,,,,,,,,
1881184559,21.4349358,41.9998997,,,,,,,,,,,,,,,,,
1881184561,21.4325929,41.9998943,,,,,,,,,,,,,,,,,
1881184563,21.4349959,42.0000763,,,,,,,,,,,,,,,,,
1881184565,21.4348392,42.0001263,,,,,,,,,,,,,,,,,
1881184567,21.4350830,42.0001180,,,,,,,,,,,,,,,,,
1881184569,21.4321701,42.0000853,,,,,,,,,,,,,,,,,
1881184570,21.4350637,42.0001230,,,,,,,,,,,,,,,,,
1881184572,21.4351095,42.0000954,,,,,,,,,,,,,,,,,
1881184583,21.4350386,42.0000376,,,,,,,,,,,,,,,,,
1881184586,21.4350990,42.0001085,,,,,,,,,,,,,,,,,
1881184587,21.4350025,42.0000594,,,,,,,,,,,,,,,,,
1881184588,21.4347244,41.9998383,,,,,,,,,,,,,,,,,
1881184590,21.4348543,42.0000420,,,,,,,,,,,,,,,,,
1881184591,21.4347925,42.0001053,,,,,,,,,,,,,,,,,
1881184592,21.4348957,42.0000685,,,,,,,,,,,,,,,,,
1881184593,21.4322270,42.0018999,,,,,,,,,,,,,,,,,
1881184597,21.4323818,41.9999729,,,,,,,,,,,,,,,,,
1881184601,21.4348751,42.0001186,,,,,,,,,,,,,,,,,
